mês,data,cod_filial,cargo,faixa,quantidade,faltaEsperada
2024-05,2024-05-17,2,motorista,over 10,4,2.0
2024-05,2024-05-17,2,motorista,till 10,4,2.0
2024-05,2024-05-17,2,motorista,till 8,4,2.0
2024-05,2024-05-17,2,motorista,till 9,4,2.0
2024-05,2024-05-17,2,vigilante,over 10,2,1.855
2024-05,2024-05-17,2,vigilante,till 10,2,1.855
2024-05,2024-05-17,2,vigilante,till 8,2,1.855
2024-05,2024-05-17,2,vigilante,till 9,2,1.855
2024-05,2024-05-17,4,motorista,over 10,11,1.759
2024-05,2024-05-17,4,motorista,till 10,11,1.759
2024-05,2024-05-17,4,motorista,till 8,11,1.759
2024-05,2024-05-17,4,motorista,till 9,11,1.759
2024-05,2024-05-17,4,vigilante,over 10,0,0.0
2024-05,2024-05-17,4,vigilante,till 10,0,0.0
2024-05,2024-05-17,4,vigilante,till 8,0,0.0
2024-05,2024-05-17,4,vigilante,till 9,0,0.0
2024-05,2024-05-20,2,motorista,over 10,2,0.0
2024-05,2024-05-20,2,motorista,till 10,2,0.0
2024-05,2024-05-20,2,motorista,till 8,2,0.0
2024-05,2024-05-20,2,motorista,till 9,2,0.0
2024-05,2024-05-20,2,vigilante,over 10,2,0.867
2024-05,2024-05-20,2,vigilante,till 10,2,0.867
2024-05,2024-05-20,2,vigilante,till 8,2,0.867
2024-05,2024-05-20,2,vigilante,till 9,2,0.867
2024-05,2024-05-20,4,motorista,over 10,11,1.705
2024-05,2024-05-20,4,motorista,till 10,11,1.705
2024-05,2024-05-20,4,motorista,till 8,11,1.705
2024-05,2024-05-20,4,motorista,till 9,11,1.705
2024-05,2024-05-20,4,vigilante,over 10,0,0.0
2024-05,2024-05-20,4,vigilante,till 10,0,0.0
2024-05,2024-05-20,4,vigilante,till 8,0,0.0
2024-05,2024-05-20,4,vigilante,till 9,0,0.0
2024-05,2024-05-21,2,motorista,over 10,3,1.0
2024-05,2024-05-21,2,motorista,till 10,3,1.0
2024-05,2024-05-21,2,motorista,till 8,3,1.0
2024-05,2024-05-21,2,motorista,till 9,3,1.0
2024-05,2024-05-21,2,vigilante,over 10,2,0.856
2024-05,2024-05-21,2,vigilante,till 10,2,0.856
2024-05,2024-05-21,2,vigilante,till 8,2,0.856
2024-05,2024-05-21,2,vigilante,till 9,2,0.856
2024-05,2024-05-21,4,motorista,over 10,11,1.745
2024-05,2024-05-21,4,motorista,till 10,11,1.745
2024-05,2024-05-21,4,motorista,till 8,11,1.745
2024-05,2024-05-21,4,motorista,till 9,11,1.745
2024-05,2024-05-21,4,vigilante,over 10,0,0.0
2024-05,2024-05-21,4,vigilante,till 10,0,0.0
2024-05,2024-05-21,4,vigilante,till 8,0,0.0
2024-05,2024-05-21,4,vigilante,till 9,0,0.0
2024-05,2024-05-22,2,motorista,over 10,3,1.0
2024-05,2024-05-22,2,motorista,till 10,3,1.0
2024-05,2024-05-22,2,motorista,till 8,3,1.0
2024-05,2024-05-22,2,motorista,till 9,3,1.0
2024-05,2024-05-22,2,vigilante,over 10,2,0.855
2024-05,2024-05-22,2,vigilante,till 10,2,0.855
2024-05,2024-05-22,2,vigilante,till 8,2,0.855
2024-05,2024-05-22,2,vigilante,till 9,2,0.855
2024-05,2024-05-22,4,motorista,over 10,12,2.696
2024-05,2024-05-22,4,motorista,till 10,12,2.696
2024-05,2024-05-22,4,motorista,till 8,12,2.696
2024-05,2024-05-22,4,motorista,till 9,12,2.696
2024-05,2024-05-22,4,vigilante,over 10,0,0.0
2024-05,2024-05-22,4,vigilante,till 10,0,0.0
2024-05,2024-05-22,4,vigilante,till 8,0,0.0
2024-05,2024-05-22,4,vigilante,till 9,0,0.0
2024-05,2024-05-23,2,motorista,over 10,3,1.0
2024-05,2024-05-23,2,motorista,till 10,3,1.0
